,Course_Code,Course_Name,R1_Points,R2_Points
384,TU918,Law (LLB),463,
385,TU919,Advertising and Marketing Communications,219,
386,TU920,Digital Marketing,270,
387,TU921,Digital Marketing Technologies,230,
388,TU922,Marketing,412,
389,TU924,E-Commerce in Retailing,307,
390,TU925,Retail and Services Management,307,
391,TU932,Business (options),211,
392,TU933,Accounting and Finance (campus options),251,
393,TU935,Sports Management and Coaching,300,
394,TU936,Sports Science and Health,484,
395,TU941,Botanical Cuisine,311,
396,TU942,Culinary Arts,252,
397,TU943,Culinary Entrepreneurship,261,
398,TU944,Culinary Science,336,
399,TU951,International Hospitality and Tourism Management,244,
400,TU952,International Hospitality Management,309,
401,TU953,Tourism and Digital Marketing,308,
402,TU954,Event Management,326,
403,TU955,Sports and Leisure Management,275,
404,TU961,Commercial Modern Music (BIMM - assessment/auditio,536,536
405,TU962,Drama (Performance,audition),448
406,TU963,Music (audition),364,
407,TU965,International Business and Languages,357,
408,TU967,Languages and International Tourism,298,
409,TU973,Design - Visual Communication (portfolio),700,
410,TU974,Fine Art (portfolio),549,
411,TU975,Interior Design (portfolio),544,
412,TU976,Photography (portfolio),700,
413,TU978,Creative Industries and Visual Culture,299,
414,TU981,Creative Digital Media,280,
415,TU982,Media Production and Digital Arts,369,
416,TU983,Film and Broadcasting,462,453
417,TU984,Game Design,414,
418,TU985,Journalism,367,
419,TU989,Early Childhood Care and Education (campus options,270,
420,TU991,Applied Social Studies in Social Care,326,
421,TU992,Community Development and Youth Work,251,
422,TU995,Early Childhood Education,378,
423,TU996,Social Care,407,
424,TU997,Applied Social Care,320,
425,TR002,Music,508,477
426,TR003,History,552,543
427,TR004,Law,590,589
428,TR005,Philosophy,510,497
429,TR006,Psychology,601,590
430,TR007,Clinical Speech and Language Studies,564,
431,TR009,Music Education,496,486
432,TR015,Philosophy,Political Science,Economics and Socio
433,TR016,Deaf Studies,389,
434,TR018,Law and French,602,602
435,TR019,Law and German,577,567
436,TR021,Classics,Ancient History and Archaeology,467
437,TR022,Early and Modern Irish,377,
438,TR023,English Studies,546,541
439,TR024,European Studies,566,
440,TR025,Drama and Theatre Studies,543,519
441,TR028,Ancient and Medieval History and Culture,498,463
442,TR031,Mathematics,579,578
443,TR032,Engineering,556,555
444,TR033,Computer Science,566,549
445,TR034,Management Science and Information Systems Studies,625,625
446,TR035,Theoretical Physics,590,589
447,TR038,Engineering with Management,589,589
448,TR039,Computer Science,Linguistics and a Language,443
449,TR040,Middle Eastern and European Languages and Cultures,520,499
450,TR041,Religion,417,
451,TR042,Film,531,522
452,TR043,History of Art and Architecture,498,486
453,TR051,Medicine (HPAT required),743,743
454,TR052,Dental Science,625,625
455,TR053,Physiotherapy,590,
456,TR054,Occupational Therapy,578,577
457,TR055,Radiation Therapy,577,566
