,Course_Code,Course_Name,R1_Points21,R2_Points21
322,NC005,Human Resource Management,301.0,
323,NC009,Business,300.0,
324,NC010,Psychology,420.0,
325,NC020,Marketing Practice,270.0,
326,NC022,Accounting and Finance,330.0,
327,NC023,Technology Management (with specialisations),266.0,
328,NC030,Early Childhood Education and Care,251.0,251.0
329,RC001,Medicine - Undergraduate Entry (HPAT required),741.0,740.0
330,RC004,Physiotherapy,589.0,589.0
331,RC005,Pharmacy,613.0,613.0
332,RC101,Medicine - Graduate Entry (GAMSAT required),,
333,NM801,Montessori Education,262.0,
334,NM802,Psychology,228.0,
335,TU801,Sustainable Energy Engineering,235.0,
336,TU802,Electrical Services and Energy Management,309.0,
337,TU804,Engineering (Common Entry with Award options),270.0,
338,TU805,Engineering (General Entry),466.0,465.0
339,TU807,Computer Engineering in Mobile Systems,274.0,
340,TU810,Mechatronic Engineering,271.0,
341,TU811,Product Design,440.0,434.0
342,TU812,Design Technology and Innovation,278.0,
343,TU814,Sustainable Transport Management,253.0,253.0
344,TU828,Mechanical Engineering (General Entry),300.0,
345,TU829,Electronic Engineering (General Entry),248.0,248.0
346,TU831,Architectural Technology,423.0,
347,TU832,Architecture (Suitability Test and Interview),644.0,638.0
348,TU833,Construction Management,396.0,
349,TU834,Geographic Science,315.0,
350,TU835,Planning and Environmental Management,330.0,
351,TU836,Property Economics (Valuation Surveying),411.0,
352,TU837,Quantity Surveying and Construction Economics,413.0,
353,TU838,Sustainable Timber Technology,307.0,271.0
354,TU851,Analytical Chemistry (Environmental  Forensic and,400.0,
355,TU852,Chemical Sciences with Medicinal Chemistry,477.0,
356,TU854,Science (General Entry),510.0,
357,TU855,Science with Nanotechnology,322.0,
358,TU856,Computer Science,499.0,
359,TU857,Computer Science (Infrastructure),403.0,
360,TU858,Computer Science (International),395.0,
361,TU859,Computing,251.0,
362,TU860,Computing (Information Technology),270.0,
363,TU861,Computing with Language (French/German/Spanish),235.0,235.0
364,TU862,Computing with Artificial Intelligence Machine Lea,262.0,
365,TU863,Digital Forensics and Cyber Security,282.0,
366,TU864,DNA and Forensic Analysis,500.0,441.0
367,TU865,Cloud Computing,235.0,
368,TU866,Biomedical and Molecular Diagnostics,522.0,
369,TU867,Biomedical Science,576.0,566.0
370,TU868,Clinical Measurement Science,542.0,
371,TU869,Environmental Health,387.0,
372,TU870,Human Nutrition and Dietetics,601.0,
373,TU871,Optometry,532.0,
374,TU872,Public Health Nutrition,487.0,
375,TU874,Mathematical Sciences,294.0,294.0
376,TU875,Pharmaceutical Healthcare,451.0,
377,TU876,Pharmaceutical Science,445.0,
378,TU877,Physics Technology,314.0,314.0
379,TU878,Physics with Energy and Environment,339.0,
380,TU879,Physics with Medical Physics and Bioengineering,346.0,
381,TU880,Physics with Data Science,412.0,
382,TU881,Food Innovation,309.0,
383,TU882,Nutraceuticals in Health and Nutrition,380.0,
384,TU902,Business (options),270.0,
385,TU903,Business and Management,477.0,
386,TU904,Business and Law,462.0,
387,TU905,Economics and Finance,460.0,
388,TU906,Human Resource Management,386.0,377.0
389,TU907,Logistics and Supply Chain Management,300.0,
390,TU910,Accounting,420.0,
391,TU912,Business Analytics,331.0,311.0
392,TU914,Business Computing,322.0,
393,TU917,Law (LLB ) with a Language,356.0,
394,TU918,Law (LLB),463.0,
395,TU919,Advertising and Marketing Communications,219.0,
396,TU920,Digital Marketing,270.0,
397,TU921,Digital Marketing Technologies,230.0,
398,TU922,Marketing,412.0,
399,TU924,E-Commerce in Retailing,307.0,
400,TU925,Retail and Services Management,307.0,
401,TU932,Business (options),211.0,
402,TU933,Accounting and Finance (campus options),251.0,
403,TU935,Sports Management and Coaching,300.0,
404,TU936,Sports Science and Health,484.0,
405,TU941,Botanical Cuisine,311.0,
406,TU942,Culinary Arts,252.0,
407,TU943,Culinary Entrepreneurship,261.0,
408,TU944,Culinary Science,336.0,
409,TU951,International Hospitality and Tourism Management,244.0,
410,TU952,International Hospitality Management,309.0,
411,TU953,Tourism and Digital Marketing,308.0,
412,TU954,Event Management,326.0,
413,TU955,Sports and Leisure Management,275.0,
414,TU961,Commercial Modern Music (BIMM - assessment/auditio,536.0,536.0
415,TU962,Drama (Performance  audition),448.0,
416,TU963,Music (audition),364.0,
417,TU965,International Business and Languages,357.0,
418,TU967,Languages and International Tourism,298.0,
419,TU973,Design - Visual Communication (portfolio),700.0,
420,TU974,Fine Art (portfolio),549.0,
421,TU975,Interior Design (portfolio),544.0,
422,TU976,Photography (portfolio),700.0,
423,TU978,Creative Industries and Visual Culture,299.0,
424,TU981,Creative Digital Media,280.0,
425,TU982,Media Production and Digital Arts,369.0,
426,TU983,Film and Broadcasting,462.0,453.0
427,TU984,Game Design,414.0,
428,TU985,Journalism,367.0,
429,TU989,Early Childhood Care and Education (campus options,270.0,
430,TU991,Applied Social Studies in Social Care,326.0,
431,TU992,Community Development and Youth Work,251.0,
432,TU995,Early Childhood Education,378.0,
433,TU996,Social Care,407.0,
434,TU997,Applied Social Care,320.0,
435,TR002,Music,508.0,477.0
436,TR003,History,552.0,543.0
437,TR004,Law,590.0,589.0
438,TR005,Philosophy,510.0,497.0
439,TR006,Psychology,601.0,590.0
440,TR007,Clinical Speech and Language Studies,564.0,
441,TR009,Music Education,496.0,486.0
442,TR015,Philosophy  Political Science  Economics and Socio,613.0,613.0
443,TR016,Deaf Studies,389.0,
444,TR018,Law and French,602.0,602.0
445,TR019,Law and German,577.0,567.0
446,TR021,Classics  Ancient History and Archaeology,467.0,462.0
447,TR022,Early and Modern Irish,377.0,
448,TR023,English Studies,546.0,541.0
449,TR024,European Studies,566.0,
450,TR025,Drama and Theatre Studies,543.0,519.0
451,TR028,Ancient and Medieval History and Culture,498.0,463.0
452,TR031,Mathematics,579.0,578.0
453,TR032,Engineering,556.0,555.0
454,TR033,Computer Science,566.0,549.0
455,TR034,Management Science and Information Systems Studies,625.0,625.0
456,TR035,Theoretical Physics,590.0,589.0
457,TR038,Engineering with Management,589.0,589.0
458,TR039,Computer Science  Linguistics and a Language,443.0,
459,TR040,Middle Eastern and European Languages and Cultures,520.0,499.0
460,TR041,Religion,417.0,
461,TR042,Film,531.0,522.0
462,TR043,History of Art and Architecture,498.0,486.0
463,TR051,Medicine (HPAT required),743.0,743.0
464,TR052,Dental Science,625.0,625.0
465,TR053,Physiotherapy,590.0,
466,TR054,Occupational Therapy,578.0,577.0
467,TR055,Radiation Therapy,577.0,566.0
468,TR056,Human Health and Disease,601.0,
469,TR060,Biological and Biomedical Sciences,578.0,577.0
470,TR061,Chemical Sciences,558.0,554.0
471,TR062,Geography and Geoscience,495.0,
472,TR063,Physical Sciences,554.0,543.0
